event_id,time_s,time_ns,node_id,longitude_deg,latitude_deg,spatial_risk,step_failure_probability,random_value,risk_active,recovery_time_s
275,138091,138091000000000,28,-82.891425233613035,-49.309611342909548,0.092051852426886696,0.00013765846366011914,2.3595757062527695e-05,false,138099
276,138209,138209000000000,27,-85.994854777865456,-23.723152430459105,0.33077763662773751,0.00049457140467385678,2.3625559386358681e-05,false,138217
277,138951,138951000000000,26,-88.112842060589415,-35.351208113785496,0.24480635452978647,0.00036605257558259337,0.00012758235133651855,false,138959
278,139082,139082000000000,37,-57.125293899061916,-48.593855163678846,0.22642391950167756,0.00033857045218385157,0.00013175863479399032,false,139090
279,139638,139638000000000,36,-59.364745943152407,-49.123696323770346,0.21225541669801457,0.0003173877296690463,2.9352029344351523e-05,false,139646
280,139944,139944000000000,35,-62.306505929477716,-34.753561765954728,0.84655512667637511,0.0012652624823751327,0.00059853543632090343,true,139952
281,140204,140204000000000,34,-64.746577074935118,-17.621961516237274,0.66448722241876834,0.00099327873261144785,0.00048525587211670858,true,140212
282,140696,140696000000000,44,-36.645502422404306,-19.77559292460117,0.34075857382253699,0.00050949087889176311,0.00019416912467851722,false,140704
283,141111,141111000000000,43,-69.263515799491174,-6.4467286163488708,0.17457072229830425,0.00026104477032083814,0.00015284936684013074,false,141119
284,141854,141854000000000,53,-41.192860715876151,-23.583096928754443,0.54140583232011974,0.00080937054938946785,0.00065620689105499389,true,141862
285,141873,141873000000000,42,-71.585136211927747,-19.274959963132009,0.62409666280103326,0.00093293089997247578,0.0005590562048097353,true,141881
286,142430,142430000000000,52,-43.461872149138017,-25.307636944740185,0.63938254727002708,0.00095577008129665798,0.00036043349536372515,true,142438
287,142543,142543000000000,41,-73.831332368051079,-26.609488467208848,0.73938349872154274,0.0011051721641789662,0.00031858358212406401,true,142551
288,143470,143470000000000,50,-48.03809770356424,-22.072822098935472,0.70978186020165912,0.0010609494485477934,0.00080499452711987819,true,143478
289,144080,144080000000000,49,-50.296742483206344,-25.826440356212036,0.8506945111693669,0.0012714452775491648,0.00090259667200504523,true,144088
290,145130,145130000000000,47,-54.872341183404302,-23.188489453401001,0.88606976968733886,0.0013242820013310125,0.00011706818462120892,true,145138
291,145607,145607000000000,35,-87.53460422648206,-13.561696052703429,0.15049477796108263,0.00022504679757091094,3.7043822860604888e-05,false,145615
292,145728,145728000000000,35,-87.540029458853851,-20.784159040927563,0.25891759776220363,0.0003871486656509858,0.00020408654642524237,false,145736
293,145836,145836000000000,35,-87.503087824056848,-27.229340123267978,0.31056042897827002,0.00046435010243460185,0.00038964163536333023,false,145844
294,146108,146108000000000,56,-29.057361131823008,-21.695245479566871,0.19877890515087551,0.00029723915717207779,0.0001297870248080467,false,146116
295,146233,146233000000000,45,-59.42891864085481,-23.71342340898283,0.93771944888531911,0.0014014212891856248,0.00032107975957556395,true,146241
296,146606,146606000000000,55,-31.341904185227559,-18.764581665941733,0.20938649998532091,0.00031309848035838354,6.077951114674526e-05,false,146614
297,147301,147301000000000,54,-63.994970789658595,-22.149562685465025,0.86634228554954507,0.0012948172432602947,0.00097295530195690301,true,147309
298,147734,147734000000000,54,-63.263924002969112,-47.971608649829108,0.24625478492343639,0.00036821797709075027,0.00013739197249001132,false,147742
299,147885,147885000000000,53,-66.264097207200294,-24.351613255436973,0.89873085012867326,0.0013431919968711467,0.0004112539080765129,true,147893
300,148266,148266000000000,63,-38.179718715344045,-19.880361389165621,0.38148688265162134,0.00057036912117119606,0.00055122308308593959,false,148274
301,148509,148509000000000,52,-68.502201967437117,-28.940222231652296,0.89170118659349729,0.0013326928655419518,0.0012416795963117286,true,148517
302,148940,148940000000000,62,-40.418545432323363,-27.45341144713047,0.55280193257751387,0.00082640002176798772,0.000583712971166777,true,148948
303,149566,149566000000000,50,-73.085096641450235,-26.720319527813764,0.76344509847220787,0.0011411170185349146,0.00034110785251260581,true,149574
304,149720,149720000000000,49,-75.336606716933062,-3.2558186727569143,0.082998405959128815,0.0001241203745205617,7.9516325271547692e-06,false,149728
305,151198,151198000000000,47,-79.928697271401134,-26.165007075990452,0.53548518419082691,0.00080052306497797811,0.00029253961072495186,true,151206
306,151595,151595000000000,47,-79.079341808715057,-49.834544104920518,0.10892084355870879,0.0001628830540600299,2.0828564728689723e-05,false,151603
307,151617,151617000000000,57,-51.843560837256945,-23.961889294107056,0.85275318373615427,0.0012745202013306725,0.001128316445902414,true,151625
308,151699,151699000000000,46,-82.226361922486376,-23.413821275535231,0.43370344693630558,0.00064841389678517837,0.00012120977631109616,false,151707
309,152318,152318000000000,45,-84.473445997665223,-27.704271013588947,0.39668667549410108,0.00059308791307575808,9.6459179200117777e-05,false,152326
310,154758,154758000000000,62,-65.532943470538413,-15.509663981320443,0.55491565021377687,0.00082955857001293636,0.0005110339509078912,true,154766
311,155592,155592000000000,61,-67.699666085823921,-32.630583380036924,0.84709585801390996,0.0012660701483714638,0.0010653355209133096,true,155600
312,155666,155666000000000,10,-43.251795366469878,-39.141600187090852,0.42151530138551474,0.00063019759654128001,0.00059293469491657257,false,155674
313,156109,156109000000000,60,-70.010164730263696,-30.834815451915279,0.83315275737739591,0.0012452437594656222,0.00026919717341498755,true,156117
314,158253,158253000000000,5,-55.101404646715764,-47.99170403623534,0.24056423402966168,0.00035971058410177748,0.00015761331487064472,false,158261
315,158482,158482000000000,5,-54.513584242477165,-34.341577283115939,0.83019945876878798,0.0012408324506684527,3.1227480269809231e-05,true,158490
316,159006,159006000000000,4,-56.82634687352629,-35.719455282411587,0.80055262276461381,0.0011965482268287769,0.0011269965289196183,true,159014
317,159849,159849000000000,3,-58.92159320132096,-18.063590286062816,0.70849309624018042,0.0010590240835504628,0.00042363514381370276,true,159857
318,160106,160106000000000,2,-61.376795339409036,-35.37377937145969,0.82553874427870455,0.001233870754404358,0.00071328160082049976,true,160114
319,160116,160116000000000,2,-61.362380519546427,-34.777349432837838,0.85014186034975092,0.001270619812395634,0.00082481703058861729,true,160124
320,160411,160411000000000,13,-30.836080918261707,-11.731283614703591,0.10736191915481919,0.00016055198523344335,6.8341617988202849e-05,false,160419
321,160577,160577000000000,1,-63.795855861867224,-39.911794448118272,0.59755322178582537,0.00089327016420839703,0.00081090004385151186,true,160585
322,160746,160746000000000,1,-63.550927610400009,-29.832170204937558,0.96936487646325209,0.0014486810929829992,0.00053167997640311609,true,160754
323,160792,160792000000000,1,-63.518968088225883,-27.087511129286973,0.97823937868514355,0.0014619340194918125,0.00069797601205739447,true,160800
324,160901,160901000000000,1,-63.482978772512318,-20.582611710789386,0.81078334959235521,0.0012118303424226593,0.00094563355592353732,true,160909
325,161566,161566000000000,10,-68.659283687776735,-46.181671977762512,0.2826521180255494,0.00042263040168034893,2.6534545589048763e-05,false,161574
326,162020,162020000000000,10,-68.040206572870034,-19.102643430026994,0.68754221374694968,0.00102772373076262,0.00095106223547387523,true,162028
327,162298,162298000000000,20,-40.008233179444048,-29.720147864695328,0.53416536123161329,0.00079855078491246204,0.00011767889942908918,true,162306
328,162499,162499000000000,9,-70.330240963495015,-23.167213408520858,0.7820954164652012,0.0011689772422922443,0.00030841284062477551,true,162507
