event_id,time_s,time_ns,node_id,longitude_deg,latitude_deg,spatial_risk,step_failure_probability,random_value,risk_active,recovery_time_s
466,241605,241605000000000,45,-75.404153200931191,-35.178542870824671,0.36683424330898318,0.00052428803391400337,0.00040467178546165384,false,241613
467,241762,241762000000000,55,-47.47427793749327,-17.341959540672672,0.58824281372546194,0.00084059728268091286,0.00040711999979823829,true,241770
468,242436,242436000000000,65,-49.733630668228436,-24.915655520514335,0.88291751966663501,0.0012614209082858427,0.00056186647081473524,true,242444
469,243971,243971000000000,1,-29.483371150511118,-24.974457146315871,0.43163547731221186,0.00061687489346988055,0.00015168125544434908,false,243979
470,244116,244116000000000,62,-56.553462276302064,-27.224636671249055,0.98767778456469546,0.001410985862408264,0.0011999263077938633,true,244124
471,244170,244170000000000,62,-56.514018727846278,-30.446567141054729,0.96915345393593832,0.0013845405314126999,0.000437469941329618,true,244178
472,245177,245177000000000,60,-61.12932711106405,-25.243266187713644,0.96965413111609866,0.001385255307271514,0.0013059778771464246,true,245185
473,247922,247922000000000,5,-45.419644852177733,-17.735760814010188,0.57674692174322395,0.00082417645772273149,9.2949489907709405e-05,true,247930
474,248136,248136000000000,55,-72.282039500605578,-38.575292786350012,0.40167909627426091,0.00057407481095169647,0.00030062162841886723,false,248144
475,248147,248147000000000,15,-17.415080845400507,-31.515886033666447,0.19846965529331759,0.00028369158522243131,1.9702130020140449e-05,false,248155
476,249175,249175000000000,14,-19.664610108655324,-2.8128181606829155,0.026915986091947983,3.8478301071360293e-05,7.3600098329787253e-06,false,249183
477,250850,250850000000000,21,-28.849232662388363,-33.455222969872729,0.38842049157670794,0.00055513103720966509,0.00045808802714625139,false,250858
478,250899,250899000000000,10,-59.287980844582343,-35.971246066043072,0.80166238067574758,0.0011453985104174834,0.00023541321255405161,true,250907
479,251655,251655000000000,9,-61.389021807613503,-23.508086661798185,0.92611277871232023,0.0013230929673394398,0.00036525681521124616,true,251663
480,252829,252829000000000,7,-65.935929068584059,-18.745582990731005,0.65723052637828605,0.00093913421972351835,0.00089344782425024262,true,252837
481,252853,252853000000000,6,-69.103463607367772,-49.940729267530166,0.14096182818230898,0.00020149845193523884,5.0026460179477869e-05,false,252861
482,253014,253014000000000,6,-68.547080738930831,-40.348425157148441,0.45698176915764011,0.00065308689446471919,0.00021024352026420001,false,253022
483,253125,253125000000000,17,-37.886287316016663,-28.289252865786555,0.65391113411295132,0.000934393268311013,0.00062427626220729732,true,253133
484,253610,253610000000000,5,-70.727053366422595,-37.432921009898912,0.4923793573840895,0.00070365688920297946,3.0662633100950088e-05,false,253618
485,254539,254539000000000,15,-42.421474725593683,-9.2019102947262237,0.22420242496174583,0.00032046798993463986,0.00028390811268540276,false,254547
